NbCI,Method,Parametre_method_1,Parametre_method_2,fct_obj,nbr_evaluation,nbr_evaluation_aborted,temps,temps_CPU,delta_0,gamma_0,eps_0,r_0,x0_infect_0,beta0_0,beta1_0,beta2_0,beta3_0,beta4_0,beta5_0,beta6_0
81,MCMC,Gibbs,/,27936275854.243484497070312,18329,0,1.398212477000000,1.394450165000000,0.755207688055282,0.047873206862928,0.436649984113062,0.248654441182281,0.000044174671594,0.031609166521793,0.014168293891992,0.047583739659870,0.052697719636211,0.072027827039303,0.045725208538273,0.032117090905881
81,MCMC,Gibbs,/,27936263082.635707855224609,18359,0,1.400289604000000,1.396527723000000,0.755206880947286,0.047868671402926,0.436656976312723,0.248653483722329,0.000044175097767,0.031613349590519,0.014172659520331,0.047585704790371,0.052703405414203,0.072035685255624,0.045726206248521,0.032126594414708
81,MCMC,Gibbs,/,27936247131.118171691894531,18389,0,1.402588475000000,1.398830361000000,0.755206880947286,0.047865985436241,0.436661298006229,0.248648399415336,0.000044175097767,0.031618986489892,0.014180279517666,0.047585634906448,0.052703405414203,0.072040392824299,0.045726206248521,0.032131728353377
81,MCMC,Gibbs,/,27936245205.302104949951172,18419,0,1.405852783000000,1.402094218000000,0.755205216701670,0.047860335980839,0.436663087634181,0.248639803090750,0.000044175200983,0.031618986489892,0.014185644747795,0.047587413933166,0.052706720567560,0.072040392824299,0.045729359010294,0.032131728353377
81,MCMC,Gibbs,/,27936238735.673980712890625,18449,0,1.408135133000000,1.404375647000000,0.755203430678779,0.047850344242497,0.436663214011044,0.248639803090750,0.000044175200983,0.031620990392963,0.014191208595033,0.047590170410237,0.052707039536202,0.072040392824299,0.045734938433532,0.032131728353377
81,MCMC,Gibbs,/,27936233757.576591491699219,18479,0,1.410301747000000,1.406539435000000,0.755202606555048,0.047843961635896,0.436667600244944,0.248639803090750,0.000044175200983,0.031622490359491,0.014195357503123,0.047590379408674,0.052708121314960,0.072043890065267,0.045736092815475,0.032140443297964
81,MCMC,Gibbs,/,27936231215.043415069580078,18509,0,1.412395845000000,1.408633954000000,0.755200763343150,0.047843234748697,0.436668675466968,0.248639803090750,0.000044176388780,0.031622490359491,0.014200547418721,0.047594877735058,0.052716413696894,0.072043890065267,0.045742006332607,0.032142112905527
81,MCMC,Gibbs,/,27936227007.868007659912109,18539,0,1.414497497000000,1.410735176000000,0.755197861070747,0.047835958123156,0.436668675466968,0.248638295477070,0.000044176388780,0.031623690226006,0.014200547418721,0.047594975345838,0.052720964267245,0.072048579045193,0.045743625277496,0.032145303238013
81,MCMC,Gibbs,/,27936225272.570877075195312,18569,0,1.416580775000000,1.412818464000000,0.755197842954404,0.047828052785155,0.436673187786575,0.248636361014476,0.000044176896816,0.031623690226006,0.014200547418721,0.047594975345838,0.052722125306150,0.072049756520088,0.045743625277496,0.032149887710310
81,MCMC,Gibbs,/,27936219659.558723449707031,18599,0,1.418708837000000,1.414955903000000,0.755191927262433,0.047824605043361,0.436678937433468,0.248632211041662,0.000044179563841,0.031623690226006,0.014201363367141,0.047594975345838,0.052727583925516,0.072049756520088,0.045744621159732,0.032151164237798
81,MCMC,Gibbs,/,27936205535.111358642578125,18629,0,1.421446580000000,1.417691982000000,0.755188217777300,0.047823955050806,0.436686474971263,0.248629696259087,0.000044181385997,0.031627652903178,0.014201363367141,0.047598067067899,0.052728091290190,0.072052991598650,0.045744621159732,0.032153774038579
81,MCMC,Gibbs,/,27936193685.622600555419922,18659,0,1.424427697000000,1.420673701000000,0.755184279048624,0.047821149195011,0.436692209919992,0.248629696259087,0.000044182511134,0.031631006354469,0.014210063539042,0.047601159626332,0.052733973188868,0.072054092828897,0.045744621159732,0.032153774038579
81,MCMC,Gibbs,/,27936185689.114547729492188,18689,0,1.426844800000000,1.423083130000000,0.755180316187967,0.047821149195011,0.436692209919992,0.248629270311524,0.000044185661783,0.031632050408611,0.014210063539042,0.047611089750297,0.052733973188868,0.072055896597988,0.045745960079384,0.032157758369550
81,MCMC,Gibbs,/,27936163717.984298706054688,18719,0,1.428920113000000,1.425159966000000,0.755180316187967,0.047814715622677,0.436693310948480,0.248623164075263,0.000044185838453,0.031639912821676,0.014211989772135,0.047614674155520,0.052733973188868,0.072061040566999,0.045750671674229,0.032157975172357
81,MCMC,Gibbs,/,27936158074.936481475830078,18749,0,1.431047253000000,1.427286144000000,0.755179559478450,0.047813087471325,0.436693325908349,0.248616066487220,0.000044187368074,0.031640874993725,0.014211989772135,0.047614674155520,0.052739891280848,0.072061040566999,0.045750671674229,0.032157975172357
