NbCI,NB_Classe,Method,Parametre_method_1,Parametre_method_2,fct_obj,nbr_evaluation,nbr_evaluation_aborted,temps,temps_CPU,delta_0,gamma_0,eps_0,r_0,x0_infect_0,beta0_0,beta1_0,beta2_0,beta3_0,beta4_0,beta5_0,beta6_0
1,1,MCMC,Metropolis,/,322236.011499810498208,6239999,0,521.556391466000036,521.040071320000038,0.601657522189377,0.079576159565574,0.617903095588314,0.182544308189500,0.000138470072711,0.060622151532669,0.038672212648456,0.040637366321368,0.060141057230104,0.048903222727529,0.055061405141814,0.049010563495146
1,1,MCMC,Metropolis,/,321215.606150088133290,6399999,0,535.336208634000059,534.819200014999979,0.601555166466533,0.080096267993261,0.618046525753130,0.182023512236505,0.000138467200577,0.060646615961660,0.038693855803742,0.040763570211862,0.060049735750486,0.048979076105765,0.055047655474550,0.049018628213896
1,1,MCMC,Metropolis,/,320291.594101423455868,6559999,0,549.214729218000002,548.697314204999998,0.601511889453564,0.080586389730060,0.618194369524868,0.181556315631447,0.000138457350465,0.060668981971559,0.038740822965567,0.040875492324244,0.060023007420856,0.048989008571266,0.055054837045787,0.049078143460867
1,1,MCMC,Metropolis,/,319329.137523390585557,6719999,0,562.989500474000010,562.471429410000042,0.601432711939720,0.081105855529494,0.618409040588201,0.181098280322232,0.000138467326598,0.060692660299926,0.038774465625491,0.041014013815062,0.059959159299155,0.049019105163629,0.055092603992695,0.049081454040153
1,1,MCMC,Metropolis,/,318310.004312459379435,6879999,0,576.707222041000023,576.185604424999951,0.601266902566508,0.081621286948352,0.618557797528460,0.180559180624175,0.000138452866079,0.060713054153067,0.038791222159090,0.041086486396184,0.059914693362267,0.049108551517684,0.055100213729280,0.049068504136276
1,1,MCMC,Metropolis,/,317311.552979124651756,7039999,0,590.547932820000028,590.025729146000003,0.601173167028463,0.082196601145129,0.618648198568805,0.180061376846687,0.000138447927692,0.060735086361841,0.038851808179165,0.041108401255219,0.059929995194497,0.049132572451008,0.055144114615147,0.049129623568436
1,1,MCMC,Metropolis,/,316362.548616486543324,7199999,0,604.305000931999984,603.780578941000044,0.601064103594291,0.082702634172725,0.618834056377861,0.179598435974996,0.000138458095926,0.060751550116673,0.038905101472162,0.041201168254999,0.059838575320804,0.049165585467682,0.055162622044070,0.049176230369113
1,1,MCMC,Metropolis,/,315436.401302025595214,7359999,0,618.120116460000077,617.594085010999947,0.600960143600974,0.083175235681776,0.619030159863834,0.179103261128983,0.000138462892153,0.060775757384542,0.038908266874222,0.041218020409908,0.059826736678472,0.049213143535885,0.055228124346317,0.049195218220390
1,1,MCMC,Metropolis,/,314469.023394011775963,7519999,0,631.945703174000073,631.412647824000032,0.600897057280240,0.083658741537486,0.619192916612134,0.178590704148155,0.000138470638647,0.060790886557503,0.038977145676144,0.041376929453188,0.059771524259150,0.049241584775427,0.055182463229147,0.049321873732192
1,1,MCMC,Metropolis,/,313496.685741390276235,7679999,0,645.638789985000017,645.103676191999966,0.600846041718570,0.084130021314319,0.619379497537932,0.178045041203579,0.000138471045195,0.060808813007504,0.039032292024632,0.041456829680513,0.059673509965301,0.049270191743614,0.055220176237020,0.049353777175095
1,1,MCMC,Metropolis,/,312467.890925034589600,7839999,0,659.483224223000093,658.943911121000042,0.600792359461482,0.084688451616208,0.619558260379233,0.177513034443426,0.000138471989791,0.060844884231632,0.039028473630373,0.041530834430117,0.059663089508234,0.049378665886467,0.055244007541582,0.049345187433557
1,1,MCMC,Metropolis,/,311471.076951372902840,7999999,0,673.228478418999998,672.684182057000044,0.600679420351948,0.085201995012166,0.619818672831065,0.176998857358768,0.000138463323765,0.060860368867805,0.039089586884942,0.041605448708782,0.059649194585721,0.049438994060426,0.055191148734284,0.049367388142602
1,1,MCMC,Metropolis,/,310475.758218537434004,8159999,0,687.144613652000089,686.597007404000010,0.600612579355233,0.085674992399116,0.619942077651761,0.176392039514248,0.000138456358038,0.060880873837626,0.039126228978979,0.041604834135867,0.059553903275977,0.049557224395099,0.055193102386629,0.049354632609466
1,1,MCMC,Metropolis,/,309506.369334131537471,8319999,0,701.696857032000025,701.127778784000043,0.600492776092676,0.086159976182884,0.620079182467433,0.175854484328572,0.000138453141255,0.060907072701770,0.039118664212514,0.041650121522435,0.059512308946911,0.049697410742824,0.055163287134834,0.049461410286931
1,1,MCMC,Metropolis,/,308567.355248125444632,8479999,0,716.079661393000038,715.500062648000039,0.600362951219594,0.086650514830561,0.620218760422625,0.175347939731527,0.000138448049475,0.060925199685477,0.039151403392312,0.041700477627690,0.059444845931397,0.049751228190291,0.055157349732569,0.049546969674956
1,1,MCMC,Metropolis,/,307659.342815164534841,8639999,0,731.120178892000013,730.373652846000027,0.600330429318021,0.087074930781776,0.620372443697277,0.174797981244715,0.000138450279079,0.060947278757082,0.039174839951685,0.041871788929275,0.059444456286115,0.049781943727760,0.055146436083166,0.049550408071036
1,1,MCMC,Metropolis,/,306825.063911981356796,8799999,0,745.523331879000011,744.748618970000052,0.600314269086882,0.087466908825793,0.620513324847853,0.174290263558390,0.000138443807617,0.060964797188179,0.039217887153714,0.041896879093837,0.059379106782150,0.049857549731233,0.055154930674689,0.049586395370866
1,1,MCMC,Metropolis,/,305852.689633423229679,8959999,0,759.617065129000025,758.837820854000029,0.600200085937491,0.087990395566931,0.620658855195147,0.173754942068556,0.000138442305977,0.060979955898830,0.039283416293041,0.041914646204851,0.059343170556532,0.049919251848048,0.055163159605499,0.049590934013561
1,1,MCMC,Metropolis,/,304899.705609886383172,9119999,0,774.422170396000070,773.573967139000047,0.600213844430088,0.088529487268523,0.620785758108941,0.173240366919145,0.000138424618225,0.061008611196277,0.039340988840249,0.041988559831755,0.059310810677054,0.049971754566246,0.055186573002695,0.049596918120241
1,1,MCMC,Metropolis,/,304043.570182043826208,9279999,0,788.701473447000012,787.844739456999946,0.600083710872640,0.088979170105188,0.620901266119527,0.172756364642950,0.000138412763013,0.061031299246693,0.039337002858498,0.042081284273155,0.059341045845636,0.049994002602173,0.055190757915565,0.049633782289340
1,1,MCMC,Metropolis,/,303078.716098112927284,9439999,0,803.256214679000095,802.392835060000039,0.599967459436988,0.089478240699466,0.621036308678803,0.172209394454246,0.000138433463108,0.061054776970851,0.039345748175041,0.042107616813014,0.059295733321215,0.050056732548512,0.055229943427731,0.049721066657891
